bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,7735311379821249;0,7769959174545799;0,7740100572531562;0,7888012944415775;0,7888012944415775;0,7735311379821249;0,7911233879030666;0,7911241519130763;0,7911233879030666;0,7911241519130763;0,7743298727391625;0,0;
40;0,8496192794211984;0,8029747165067971;0,850583523867371;0,7548015462099682;0,7548026917315253;0,8458258928402602;0,8092300245971064;0,8097508347083499;0,8091871484729564;0,8091928456074368;0,7863703698549662;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,7735311379821249;0,7922263414604421;0,7740100572531562;0,7888012944415775;0,7888012944415775;0,7735311379821249;0,7993890719155018;0,7999225358030254;0,7993903966804872;0,7993906837958411;0,7860495284237832;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9585454274655041;0,8198648082072411;0,8660581745178245;0,8954200800280855;0,8954200800280855;0,9464019733791315;0,8887636424658368;0,8859901177998173;0,8876965399460457;0,8882116342825126;0,9539113831555031;0,0;
