bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,8578394135018476;0,8633453071688455;0,8583219570235207;0,8727454712251623;0,8727454712251623;0,8578394135018476;0,8781514003620773;0,8781522484174756;0,8781359476725105;0,8781367957129858;0,8582032292677487;0,0;
40;0,9391313538165567;0,9007191085750486;0,9408738956463591;0,9540577648694323;0,9540607330633266;0,9483927548083151;0,9000008056526284;0,9005723949911304;0,8999432024891684;0,8999274077353164;0,8626054848406918;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,8578394135018476;0,8820365541558637;0,8583219570235207;0,8727454712251623;0,8727454712251623;0,8578394135018476;0,885430365853219;0,8860216724797331;0,8854220994259614;0,8854224174411396;0,8625436828035354;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9578632014557719;0,9042157469894564;0,96152627074211;0,9855244363982832;0,9855244363982832;0,9590727404676983;0,9886912872696496;0,9846022821594798;0,9895881830648013;0,9880928756967713;0,9440735026574876;0,0;
